Price,Avg Area Income,Avg Area House Age,Avg Area Number of Rooms,WaferId,MyCol,MyCol2,Area Population
15938.65792,47320.65721,3.55805376,7.006987009,4671-01,,X,15776.6186
31140.51762,37971.20757,4.291223903,5.807509527,4671-01,,X,33267.76773
88591.77016,60167.67261,4.590613171,3.950972653,4671-01,,X,16811.30329
143027.3645,35963.33081,3.438546514,X,4671-01,,X,
151527.0826,48735.92451,5.543729665,6.091906,4671-01,,X,19682.34729
152071.8747,X,4.902939589,7.6171181,4671-01,,X,16349.36539
201898.0866,48904.98327,4.844972531,5.44895603,4671-01,,X,32960.75307
211017.9705,50926.77663,4.507953424,6.154788048,4671-01,,X,33663.66924
231189.821,62173.5801,5.098958554,5.662268147,4671-01,,X,3883.448164
X,56654.96239,5.187860246,5.336778219,X,,X,25801.96593
253185.7015,52588.68365,5.261432252,5.053065889,4671-01,,X,32938.35564
266298.8811,53562.40354,6.323327765,4.027930716,4671-01,,X,X
268050.8147,46367.20586,X,5.181613804,4671-01,,X,26015.29645
283208.1322,49851.13478,4.684995683,5.259695412,4671-01,,X,32511.84627
287307.5837,51144.8509,4.191621744,6.701869131,4671-01,,X,18277.60136
288708.9121,55048.33202,4.302477241,6.191885162,4671-01,,X,25092.6697
291724.2456,44688.56382,5.480142489,6.485365977,4671-01,,X,25120.99203
294170.7464,47685.25759,4.931710652,5.965330546,4671-01,,X,20962.90165
299863.0401,45914.01122,5.544221047,7.795138242,4671-01,,X,24844.20019
300464.0987,45914.01122,4.897860862,6.119878765,4671-01,,X,26309.23832
302307.4011,49601.06163,4.48211105,6.119878765,4671-01,,X,33836.92806
311111.2006,17796.63119,4.949557006,6.713905445,4671-01,,X,47162.18364
311111.2006,50005.27445,4.266667666,6.546822456,4671-01,,X,26145.51787
311111.2006,52376.61152,5.361088157,4.377965509,4671-01,,X,34189.14346
311111.2006,59801.49103,4.210462758,4.954387464,4671-01,,X,33534.9264
313651.5032,59141.79644,5.631317375,4.198676629,4671-01,,X,29386.58045
314167.8343,50362.53809,5.582573935,4.608842675,4671-01,,X,23611.05623
319495.6676,41240.05728,5.81593446,5.211695627,4671-01,,X,40888.07856
321058.9607,54994.91829,5.186801232,6.063933311,4671-01,,X,15444.48261
324981.993,43952.33621,5.416065414,7.327671148,4671-01,,X,25139.44994
325195.9428,52511.65435,4.579884939,6.561220474,4671-01,,X,24612.98724
